Year,Actor,Movie,Songs,Singer,Music Director,Director
1977,Rajini,Kavikuyil,Chinna Kannan Azhaikiran,Balamurali Krishna,Ilayaraja,Devaraj-Mohan
1977,Rajini,Bhuvana Oru Kelvikuri,Vizhiyile Malarndhadu,SPB,Ilayaraja,SP Muthuraman
1977,Rajini,Bhuvana Oru Kelvikuri,Raja Enbar,"SPB, Janaki",Ilayaraja,SP Muthuraman
1978,Rajini,Mullum Malarum,Senthalam Poovil,KJ Yesudas,Ilayaraja,Mahendran 
1978,Rajini,Mullum Malarum,Raman Aandalum,SPB,Ilayaraja,Mahendran 
1978,Rajini,Priya,En Uyir Nee Thane,"KJ Yesudas, Jency",Ilayaraja,SP Muthuraman
1978,Rajini,Priya,Ye Paadal Ondru,"KJ Yesudas, S Janaki",Ilayaraja,SP Muthuraman
1978,Rajini,Priya,Akarai Cheemai,KJ Yesudas,Ilayaraja,SP Muthuraman
1979,Rajini,Dharma Yuddham,Oru Thanga Rathathil,Malaysia Vasudevan,Ilayaraja,
1979,Rajini,Dharma Yuddham,Aagaya Gangai,"Malaysia Vasudevan, S Janaki",Ilayaraja,
1979,Rajini,6 il irndhu 60 varai,Kanmaniye Kadhal Enbadhu,"SPB, S Janaki",Ilayaraja,SP Muthuraman
1980,Rajini,Billa,My Name is Billa,SPB,MSV,
1980,Rajini,Billa,Vethalaya Potendi,Malaysia Vasudevan,MSV,
1980,Rajini,Anbuku Naan Adimai,Kaathodu Poovurasa,"SPB, P Susheela",Ilayaraja,
1980,Rajini,Johny,En Vanilay,Jency,Ilayaraja,Mahendran 
1980,Rajini,Johny,Kaatril Enthan, S Janaki,Ilayaraja,Mahendran 
1980,Rajini,Johny,Aasaiye Kaathula,Shailaja,Ilayaraja,Mahendran 
1980,Rajini,Johny,Oru Iniya Manathu,Sujatha,Ilayaraja,Mahendran 
1980,Rajini,Polladhavan,Naan Polladhavan,SPB,MSV,
1980,Rajini,Murattu Kaalai,Pothuvaga En Manasu,Malaysia Vasudevan,Ilayaraja,SP Muthuraman
1981,Rajini,Thillu Mullu,Thillu Mullu,SPB,MSV,K Balachander
1981,Rajini,Thillu Mullu,Raagangal Padhinaru,SPB,MSV,K Balachander
1981,Rajini,Netrikan,Ramanin Mohanam,"KJ Yesudas, S Janaki",Ilayaraja,SP Muthuraman
1982,Rajini,Thanikatu Raja,Sandana Katre,"SPB, S Janaki",Ilayaraja,
1982,Rajini,Thanikatu Raja,Rasave Unna Naan,Shailaja,Ilayaraja,
1982,Rajini,Ranga,Pattukotai Ammalu,"SPB, Malaysia Vasudevan",Shankar-Ganesh,
